DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,AUS,M,1992-01,10647,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-08,2918,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-09,2581,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-10,3297,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-11,2852,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1996-12,2260,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-01,2236,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-02,2686,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-03,2842,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-04,2740,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-05,2911,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-06,2543,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-07,3358,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-08,3024,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-09,3485,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-10,3161,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-11,2565,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1997-12,2810,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-01,2928,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-02,2731,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-03,3055,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-04,3218,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-05,3062,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-06,2760,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-07,2531,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-08,2630,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-09,3100,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-10,2738,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-11,2576,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1998-12,2328,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-01,1895,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-02,2287,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-03,2581,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-04,2391,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-05,2389,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-06,2856,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-07,2518,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-08,2434,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-09,3125,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-10,3086,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-11,3195,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1999-12,3156,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-01,2729,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-02,3487,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-03,3192,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-04,2861,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-05,3568,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-06,2066,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-07,1668,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-08,2241,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-09,1904,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-10,1906,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-11,2557,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2000-12,1632,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2001-01,1778,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2001-02,1545,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2001-03,1815,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2001-04,2068,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2001-05,3182,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,2001-06,2494,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-07,4682,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-08,4652,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-09,4871,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-10,4553,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-11,4782,NUM,0,,
ABS:BA_GCCSA(1.0.0),1,1,9,1,TOT,10,3,M,1993-12,4135,NUM,0,,
