DATAFLOW,MEASURE,VALUE,SECTOR,WORK_TYPE,BUILDING_TYPE,TSEST,REGION,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,MEASURE_NAME,VALUE_NAME,TSEST_NAME,FREQ_NAME,OBS_STATUS_NAME,UNIT_MEASURE_NAME,UNIT_MULT_NAME
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-01,526176,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-02,332758,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-03,467307,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-04,403650,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-05,574364,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-06,500316,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-07,481912,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-08,383705,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-09,481125,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
ABS:BA_GCCSA(1.0.0),2,1,9,1,TOT,10,1,M,1992-10,739960,AUD,3,,,Hundreds,Total,Original,Monthly,nan,Australian Dollars,Thousands
